"Protein","Module","Module_Name"
"MT3","turquoise","M1_turquoise"
"NFASC","greenyellow","M13_greenyellow"
"ALDOA","yellow","M6_yellow"
"LSAMP","turquoise","M1_turquoise"
"PARK7","yellow","M6_yellow"
"YWHAZ","pink","M5_pink"
"CXCL16","grey","M17_grey"
"SELENBP1","grey","M17_grey"
"PROCR","grey","M17_grey"
"NCAN","turquoise","M1_turquoise"
"NICOL1","turquoise","M1_turquoise"
"DPP7","black","M7_black"
"ICOSLG","turquoise","M1_turquoise"
"PAPLN","grey","M17_grey"
"FOLR2","turquoise","M1_turquoise"
"GC","blue","M2_blue"
"HBA1","purple","M15_purple"
"IGLV3-19","brown","M4_brown"
"FBLN5","tan","M3_tan"
"LAMP2","greenyellow","M13_greenyellow"
"NUCB2","magenta","M8_magenta"
"PDGFB","turquoise","M1_turquoise"
"ITIH2","blue","M2_blue"
"CSF1R","grey","M17_grey"
"PGLYRP2","blue","M2_blue"
"IGHM","blue","M2_blue"
"LAMA2","tan","M3_tan"
"APLP2","green","M11_green"
"AGA","black","M7_black"
"CFI","blue","M2_blue"
"CD44","grey","M17_grey"
"IGSF8","turquoise","M1_turquoise"
"CNTNAP4","red","M9_red"
"C1QC","tan","M3_tan"
"C1R","tan","M3_tan"
"CPN2","blue","M2_blue"
"AMBP","blue","M2_blue"
"C5","blue","M2_blue"
"HEXA","black","M7_black"
"DBI","yellow","M6_yellow"
"C1QA","tan","M3_tan"
"NRXN3","midnightblue","M12_midnightblue"
"IGHV3-30","brown","M4_brown"
"C6","blue","M2_blue"
"CLEC3B","grey","M17_grey"
"SPARCL1","turquoise","M1_turquoise"
"GAP43","yellow","M6_yellow"
"MCAM","midnightblue","M12_midnightblue"
"SCG2","turquoise","M1_turquoise"
"LMAN1","turquoise","M1_turquoise"
"HBD","purple","M15_purple"
"ADGRB2","turquoise","M1_turquoise"
"LTBP4","tan","M3_tan"
"IGHG3","brown","M4_brown"
"PON1","blue","M2_blue"
"AXL","green","M11_green"
"CADM1","turquoise","M1_turquoise"
"APOD","blue","M2_blue"
"SPON1","yellow","M6_yellow"
"MGAT1","grey","M17_grey"
"SERPINF2","blue","M2_blue"
"CP","blue","M2_blue"
"PCSK1","turquoise","M1_turquoise"
"CPB2","blue","M2_blue"
"SPARC","magenta","M8_magenta"
"LYVE1","turquoise","M1_turquoise"
"IGKC","brown","M4_brown"
"IGHG4","brown","M4_brown"
"CNDP1","greenyellow","M13_greenyellow"
"EFNB2","turquoise","M1_turquoise"
"PRRT2","turquoise","M1_turquoise"
"RNASET2","black","M7_black"
"PNOC","turquoise","M1_turquoise"
"PLTP","tan","M3_tan"
"ATRN","blue","M2_blue"
"LGALS1","tan","M3_tan"
"OMG","green","M11_green"
"IGLL5","brown","M4_brown"
"FAT2","cyan","M14_cyan"
"AHSG","blue","M2_blue"
"IGFBP6","blue","M2_blue"
"CFHR2","blue","M2_blue"
"IGHV3-72","brown","M4_brown"
"NPPC","turquoise","M1_turquoise"
"CPE","cyan","M14_cyan"
"HSPA8","yellow","M6_yellow"
"C4BPA","blue","M2_blue"
"VTN","blue","M2_blue"
"SEMA6A","red","M9_red"
"WFDC1","midnightblue","M12_midnightblue"
"NPTX1","green","M11_green"
"PTN","black","M7_black"
"DCN","magenta","M8_magenta"
"MEGF10","greenyellow","M13_greenyellow"
"PSAP","red","M9_red"
"IGLV3-21","brown","M4_brown"
"GGH","black","M7_black"
"F10","blue","M2_blue"
"KRT2","lightcyan","M16_lightcyan"
"NTNG1","green","M11_green"
"CD55","turquoise","M1_turquoise"
"CD99L2","turquoise","M1_turquoise"
"IGHA1","brown","M4_brown"
"ACYP2","yellow","M6_yellow"
"EFEMP2","tan","M3_tan"
"CHI3L1","pink","M5_pink"
"FAM3C","turquoise","M1_turquoise"
"IGKV1-5","brown","M4_brown"
"CRTAC1","turquoise","M1_turquoise"
"IL6ST","green","M11_green"
"CTSH","black","M7_black"
"SEMA6D","green","M11_green"
"TIMP1","tan","M3_tan"
"IDS","red","M9_red"
"SELL","blue","M2_blue"
"PROS1","tan","M3_tan"
"CYCS","yellow","M6_yellow"
"ADAMTS4","grey","M17_grey"
"NELL2","turquoise","M1_turquoise"
"TAFA5","turquoise","M1_turquoise"
"TNFRSF21","turquoise","M1_turquoise"
"IGKV1D-33","brown","M4_brown"
"CTSB","black","M7_black"
"LAMP1","red","M9_red"
"IGFBP7","magenta","M8_magenta"
"COL3A1","tan","M3_tan"
"KIT","midnightblue","M12_midnightblue"
"HSPG2","tan","M3_tan"
"IGFBP2","tan","M3_tan"
"PRELP","tan","M3_tan"
"C1QB","tan","M3_tan"
"GDA","yellow","M6_yellow"
"NTM","turquoise","M1_turquoise"
"NECTIN1","turquoise","M1_turquoise"
"ALCAM","turquoise","M1_turquoise"
"APOC3","blue","M2_blue"
"WFIKKN2","grey","M17_grey"
"TGFBI","tan","M3_tan"
"DNER","green","M11_green"
"CDH2","turquoise","M1_turquoise"
"C1S","tan","M3_tan"
"CHGB","midnightblue","M12_midnightblue"
"ALDOC","yellow","M6_yellow"
"LYNX1","turquoise","M1_turquoise"
"ICAM5","greenyellow","M13_greenyellow"
"HPX","blue","M2_blue"
"LAMB1","magenta","M8_magenta"
"MOG","turquoise","M1_turquoise"
"STC2","midnightblue","M12_midnightblue"
"CHGA","turquoise","M1_turquoise"
"HYOU1","green","M11_green"
"IGHG2","brown","M4_brown"
"ITIH5","black","M7_black"
"GPI","pink","M5_pink"
"APCS","blue","M2_blue"
"MST1","blue","M2_blue"
"GPR158","turquoise","M1_turquoise"
"HP","blue","M2_blue"
"COL18A1","tan","M3_tan"
"RTN4R","red","M9_red"
"GRIA4","red","M9_red"
"MEGF8","red","M9_red"
"SERPIND1","blue","M2_blue"
"COCH","grey","M17_grey"
"CBLN1","cyan","M14_cyan"
"CD59","turquoise","M1_turquoise"
"KRT10","lightcyan","M16_lightcyan"
"ATP6AP1","green","M11_green"
"SERPINI1","greenyellow","M13_greenyellow"
"TGFBR3","green","M11_green"
"PTPRG","green","M11_green"
"CLSTN2","green","M11_green"
"ART3","turquoise","M1_turquoise"
"KRT1","lightcyan","M16_lightcyan"
"L1CAM","green","M11_green"
"NRXN2","green","M11_green"
"B2M","yellow","M6_yellow"
"C3","blue","M2_blue"
"APLP1","turquoise","M1_turquoise"
"LUM","blue","M2_blue"
"BCAN","green","M11_green"
"CARTPT","turquoise","M1_turquoise"
"B3GNT2","turquoise","M1_turquoise"
"NBL1","turquoise","M1_turquoise"
"PKM","yellow","M6_yellow"
"RBP4","blue","M2_blue"
"LRG1","blue","M2_blue"
"SOD1","yellow","M6_yellow"
"AGRN","turquoise","M1_turquoise"
"SPOCK3","turquoise","M1_turquoise"
"COL1A1","tan","M3_tan"
"COL6A3","tan","M3_tan"
"DDR1","red","M9_red"
"PTPRD","turquoise","M1_turquoise"
"GASK1B","turquoise","M1_turquoise"
"TPP1","black","M7_black"
"VSTM2A","turquoise","M1_turquoise"
"CLIC4","salmon","M10_salmon"
"AEBP1","tan","M3_tan"
"FGA","blue","M2_blue"
"IGHV3-74","brown","M4_brown"
"HBB","purple","M15_purple"
"SCG5","turquoise","M1_turquoise"
"ZP2","cyan","M14_cyan"
"SLITRK1","turquoise","M1_turquoise"
"IGLC3","brown","M4_brown"
"CAMK2A","yellow","M6_yellow"
"CTSL","black","M7_black"
"KLK6","turquoise","M1_turquoise"
"PCOLCE","tan","M3_tan"
"C16orf89","midnightblue","M12_midnightblue"
"NRCAM","turquoise","M1_turquoise"
"PLXDC2","yellow","M6_yellow"
"DDAH2","salmon","M10_salmon"
"CACNA2D1","turquoise","M1_turquoise"
"TAGLN","salmon","M10_salmon"
"PRNP","turquoise","M1_turquoise"
"C1RL","blue","M2_blue"
"SERPINA7","blue","M2_blue"
"IGKV2-28","brown","M4_brown"
"CRP","blue","M2_blue"
"C1QTNF3","midnightblue","M12_midnightblue"
"CNTN2","red","M9_red"
"SERPINA1","blue","M2_blue"
"F5","magenta","M8_magenta"
"SLC5A5","magenta","M8_magenta"
"NCAM1","turquoise","M1_turquoise"
"AJAP1","turquoise","M1_turquoise"
"PTPRS","turquoise","M1_turquoise"
"RARRES2","tan","M3_tan"
"LAMC1","magenta","M8_magenta"
"APOA2","blue","M2_blue"
"A1BG","blue","M2_blue"
"MASP1","black","M7_black"
"OAF","blue","M2_blue"
"DPP6","green","M11_green"
"NID2","tan","M3_tan"
"CPVL","magenta","M8_magenta"
"SERPINC1","blue","M2_blue"
"CHL1","turquoise","M1_turquoise"
"CELSR2","turquoise","M1_turquoise"
"FGB","blue","M2_blue"
"BTD","red","M9_red"
"PI16","tan","M3_tan"
"CPQ","black","M7_black"
"GFRA2","turquoise","M1_turquoise"
"SHISA5","turquoise","M1_turquoise"
"PGK1","pink","M5_pink"
"SPP1","yellow","M6_yellow"
"VCAN","green","M11_green"
"IGHG1","brown","M4_brown"
"ITM2B","magenta","M8_magenta"
"PCDH8","turquoise","M1_turquoise"
"ENO2","yellow","M6_yellow"
"CTSA","black","M7_black"
"SEZ6L","turquoise","M1_turquoise"
"POMGNT1","turquoise","M1_turquoise"
"CTSF","black","M7_black"
"AZGP1","blue","M2_blue"
"ECRG4","magenta","M8_magenta"
"SELENOP","blue","M2_blue"
"SIAE","black","M7_black"
"GSN","tan","M3_tan"
"RNASE4","tan","M3_tan"
"C2","blue","M2_blue"
"RNASE1","turquoise","M1_turquoise"
"CDH13","turquoise","M1_turquoise"
"A2M","blue","M2_blue"
"PODXL2","green","M11_green"
"COL1A2","tan","M3_tan"
"GOT1","yellow","M6_yellow"
"SCG3","turquoise","M1_turquoise"
"PEBP1","yellow","M6_yellow"
"MAN1B1","midnightblue","M12_midnightblue"
"RELN","cyan","M14_cyan"
"PPIC","grey","M17_grey"
"CDH6","turquoise","M1_turquoise"
"SEZ6","midnightblue","M12_midnightblue"
"GOLM1","turquoise","M1_turquoise"
"APP","green","M11_green"
"ACTB","salmon","M10_salmon"
"LDHB","yellow","M6_yellow"
"EFEMP1","grey","M17_grey"
"PLD3","red","M9_red"
"C8B","blue","M2_blue"
"GPX3","blue","M2_blue"
"CBLN3","cyan","M14_cyan"
"LTBP2","tan","M3_tan"
"IGFBP5","magenta","M8_magenta"
"OPCML","turquoise","M1_turquoise"
"FSTL1","magenta","M8_magenta"
"EPHA4","turquoise","M1_turquoise"
"IGLON5","green","M11_green"
"ROBO1","midnightblue","M12_midnightblue"
"NGFR","grey","M17_grey"
"CA1","purple","M15_purple"
"GAPDH","pink","M5_pink"
"BASP1","yellow","M6_yellow"
"THY1","turquoise","M1_turquoise"
"LTBP1","tan","M3_tan"
"HSPA5","turquoise","M1_turquoise"
"TGOLN2","turquoise","M1_turquoise"
"PRRT3","turquoise","M1_turquoise"
"ANG","tan","M3_tan"
"PLG","blue","M2_blue"
"BPNT2","turquoise","M1_turquoise"
"MAN1A1","turquoise","M1_turquoise"
"ISLR","tan","M3_tan"
"SERPINA6","blue","M2_blue"
"HRG","blue","M2_blue"
"F2","blue","M2_blue"
"APOC1","blue","M2_blue"
"PAM","turquoise","M1_turquoise"
"SIRPA","green","M11_green"
"PFN1","salmon","M10_salmon"
"SEMA4B","green","M11_green"
"PTPRN2","turquoise","M1_turquoise"
"SHISA6","cyan","M14_cyan"
"AGT","red","M9_red"
"CLSTN1","turquoise","M1_turquoise"
"QDPR","yellow","M6_yellow"
"FRZB","tan","M3_tan"
"CALM1","yellow","M6_yellow"
"SEMA7A","red","M9_red"
"IGF2","tan","M3_tan"
"MMRN2","grey","M17_grey"
"FUCA2","grey","M17_grey"
"HTRA1","magenta","M8_magenta"
"TMEM132A","turquoise","M1_turquoise"
"LYZ","tan","M3_tan"
"KNG1","blue","M2_blue"
"MCFD2","tan","M3_tan"
"PPIA","pink","M5_pink"
"CALB1","cyan","M14_cyan"
"GPR37","turquoise","M1_turquoise"
"SHISA7","turquoise","M1_turquoise"
"MAPT","yellow","M6_yellow"
"ATP6AP2","cyan","M14_cyan"
"C7","brown","M4_brown"
"CANX","turquoise","M1_turquoise"
"VGF","turquoise","M1_turquoise"
"ENPP2","magenta","M8_magenta"
"MGP","salmon","M10_salmon"
"MRC1","turquoise","M1_turquoise"
"SERPINA5","blue","M2_blue"
"IGKV4-1","brown","M4_brown"
"LDHA","yellow","M6_yellow"
"PRCP","black","M7_black"
"FRRS1L","turquoise","M1_turquoise"
"F12","blue","M2_blue"
"TPI1","yellow","M6_yellow"
"FGG","blue","M2_blue"
"OGN","tan","M3_tan"
"LCAT","cyan","M14_cyan"
"LINGO1","red","M9_red"
"MEGF9","turquoise","M1_turquoise"
"CSF1","turquoise","M1_turquoise"
"SEMA3G","turquoise","M1_turquoise"
"DKK3","turquoise","M1_turquoise"
"NCAM2","turquoise","M1_turquoise"
"NPTX2","greenyellow","M13_greenyellow"
"SPOCK1","cyan","M14_cyan"
"TF","blue","M2_blue"
"QSOX2","midnightblue","M12_midnightblue"
"PIK3IP1","turquoise","M1_turquoise"
"SMOC1","yellow","M6_yellow"
"LMAN2","turquoise","M1_turquoise"
"CLSTN3","turquoise","M1_turquoise"
"NEO1","green","M11_green"
"IGFBP4","tan","M3_tan"
"PRKCSH","turquoise","M1_turquoise"
"BCHE","blue","M2_blue"
"SPINT2","turquoise","M1_turquoise"
"TWSG1","black","M7_black"
"HEXB","black","M7_black"
"SULF2","grey","M17_grey"
"FETUB","blue","M2_blue"
"MMP2","tan","M3_tan"
"MFGE8","greenyellow","M13_greenyellow"
"SLC39A10","turquoise","M1_turquoise"
"KLKB1","blue","M2_blue"
"FGFR2","turquoise","M1_turquoise"
"PTPRZ1","green","M11_green"
"GNPTG","tan","M3_tan"
"DYNLL2","yellow","M6_yellow"
"SDF4","cyan","M14_cyan"
"PTPRN","turquoise","M1_turquoise"
"VSTM2B","turquoise","M1_turquoise"
"PRDX1","pink","M5_pink"
"APOA4","blue","M2_blue"
"FBLN1","magenta","M8_magenta"
"CADM3","turquoise","M1_turquoise"
"SERPING1","blue","M2_blue"
"APOE","grey","M17_grey"
"SOD2","yellow","M6_yellow"
"PENK","midnightblue","M12_midnightblue"
"CST3","turquoise","M1_turquoise"
"CFD","blue","M2_blue"
"CADM4","turquoise","M1_turquoise"
"FN1","salmon","M10_salmon"
"COLEC12","turquoise","M1_turquoise"
"CFH","blue","M2_blue"
"CNTN1","green","M11_green"
"ORM1","blue","M2_blue"
"NPY","turquoise","M1_turquoise"
"ECM2","tan","M3_tan"
"CD14","grey","M17_grey"
"ENDOD1","turquoise","M1_turquoise"
"APOA1","blue","M2_blue"
"OLFM1","greenyellow","M13_greenyellow"
"FGFR1","midnightblue","M12_midnightblue"
"HABP2","blue","M2_blue"
"PTGDS","turquoise","M1_turquoise"
"GLDN","red","M9_red"
"GOLIM4","turquoise","M1_turquoise"
"SOD3","magenta","M8_magenta"
"SERPINF1","magenta","M8_magenta"
"C8A","blue","M2_blue"
"RNASE2","blue","M2_blue"
"ITIH1","blue","M2_blue"
"TIMP2","tan","M3_tan"
"SORCS2","turquoise","M1_turquoise"
"ORM2","blue","M2_blue"
"CD163","grey","M17_grey"
"CADM2","turquoise","M1_turquoise"
"SORCS3","green","M11_green"
"TALDO1","yellow","M6_yellow"
"OMD","black","M7_black"
"ENO1","pink","M5_pink"
"NRXN1","green","M11_green"
"KIAA0319","turquoise","M1_turquoise"
"SERPINA3","blue","M2_blue"
"FCGBP","magenta","M8_magenta"
"MAN2A2","turquoise","M1_turquoise"
"RNASE6","tan","M3_tan"
"MARCKS","yellow","M6_yellow"
"ST6GAL2","turquoise","M1_turquoise"
"NID1","tan","M3_tan"
"COTL1","pink","M5_pink"
"TXN","yellow","M6_yellow"
"CUTA","green","M11_green"
"NPTXR","greenyellow","M13_greenyellow"
"MDH1","yellow","M6_yellow"
"C8G","blue","M2_blue"
"PRG4","tan","M3_tan"
"ARMH4","turquoise","M1_turquoise"
"GOT2","yellow","M6_yellow"
"PPIB","black","M7_black"
"QSOX1","magenta","M8_magenta"
"APOM","blue","M2_blue"
"FBLN2","black","M7_black"
"LY6H","turquoise","M1_turquoise"
"WFDC2","turquoise","M1_turquoise"
"GPR37L1","turquoise","M1_turquoise"
"TNXB","tan","M3_tan"
"APOH","blue","M2_blue"
"SERPINA4","blue","M2_blue"
"NPC2","black","M7_black"
"ADGRB1","greenyellow","M13_greenyellow"
"IGKV3-20","brown","M4_brown"
"ITIH4","blue","M2_blue"
"BGLAP","grey","M17_grey"
"RTN4RL2","greenyellow","M13_greenyellow"
"CD99","tan","M3_tan"
"CGREF1","turquoise","M1_turquoise"
"DIPK1C","red","M9_red"
"CFHR1","blue","M2_blue"
"CLU","red","M9_red"
"FSTL4","red","M9_red"
"NTRK2","greenyellow","M13_greenyellow"
"NXPH4","midnightblue","M12_midnightblue"
"ADAM22","midnightblue","M12_midnightblue"
"CCN3","tan","M3_tan"
"CNTN4","turquoise","M1_turquoise"
"SPOCK2","cyan","M14_cyan"
"KRT9","lightcyan","M16_lightcyan"
"TNR","green","M11_green"
"IGHA2","brown","M4_brown"
"LRRC4B","green","M11_green"
"CTSD","black","M7_black"
"CTSZ","black","M7_black"
"CANT1","turquoise","M1_turquoise"
"PCSK1N","turquoise","M1_turquoise"
"CBLN4","turquoise","M1_turquoise"
"GM2A","turquoise","M1_turquoise"
"C9","blue","M2_blue"
"CALR","turquoise","M1_turquoise"
"COL6A1","red","M9_red"
"CAMK2B","yellow","M6_yellow"
"SPINK6","cyan","M14_cyan"
"APOB","blue","M2_blue"
"AFM","blue","M2_blue"
"PTPRF","turquoise","M1_turquoise"
"LGALS3BP","tan","M3_tan"
"ECM1","greenyellow","M13_greenyellow"
"SLITRK4","greenyellow","M13_greenyellow"
"PCSK2","greenyellow","M13_greenyellow"
"VSIG4","pink","M5_pink"
"SUSD5","turquoise","M1_turquoise"
"B4GAT1","green","M11_green"
"NEGR1","green","M11_green"
"PEBP4","grey","M17_grey"
"GMFB","yellow","M6_yellow"
"SCRG1","turquoise","M1_turquoise"
"NUCB1","black","M7_black"
"A8MTW9","turquoise","M1_turquoise"
"A4GALT","blue","M2_blue"
"AAMDC","pink","M5_pink"
"AARS1","grey","M17_grey"
"ABCA2","grey","M17_grey"
"ABHD14A","brown","M4_brown"
"ABHD14B","purple","M15_purple"
"ABI3BP","blue","M2_blue"
"ACAN","salmon","M10_salmon"
"ACE","greenyellow","M13_greenyellow"
"ACHE","red","M9_red"
"ACO2","grey","M17_grey"
"ACP2","red","M9_red"
"ACP6","grey","M17_grey"
"ACVR1","grey","M17_grey"
"ACVR1B","turquoise","M1_turquoise"
"ACYP1","grey","M17_grey"
"ADA2","tan","M3_tan"
"ADAM10","tan","M3_tan"
"ADAM11","midnightblue","M12_midnightblue"
"ADAM15","blue","M2_blue"
"ADAM17","tan","M3_tan"
"ADAM23","turquoise","M1_turquoise"
"ADAM28","grey","M17_grey"
"ADAM9","tan","M3_tan"
"ADAMDEC1","tan","M3_tan"
"ADAMTS1","midnightblue","M12_midnightblue"
"ADAMTS2","midnightblue","M12_midnightblue"
"ADAMTS8","turquoise","M1_turquoise"
"ADAMTSL1","grey","M17_grey"
"ADAMTSL2","greenyellow","M13_greenyellow"
"ADAMTSL3","tan","M3_tan"
"ADAMTSL4","blue","M2_blue"
"ADARB1","brown","M4_brown"
"ADCYAP1","turquoise","M1_turquoise"
"ADCYAP1R1","turquoise","M1_turquoise"
"ADGRB3","red","M9_red"
"ADGRG1","grey","M17_grey"
"ADGRL1","green","M11_green"
"ADGRL2","grey","M17_grey"
"ADGRL3","red","M9_red"
"ADH1B","purple","M15_purple"
"ADH5","salmon","M10_salmon"
"ADIPOQ","blue","M2_blue"
"ADIRF","salmon","M10_salmon"
"ADM","grey","M17_grey"
"ADPGK","blue","M2_blue"
"AHCY","purple","M15_purple"
"AHNAK","blue","M2_blue"
"AK1","purple","M15_purple"
"AKAP12","grey","M17_grey"
"AKR1A1","salmon","M10_salmon"
"AKR1B1","pink","M5_pink"
"ALAD","purple","M15_purple"
"ALB","blue","M2_blue"
"ALDH1A1","purple","M15_purple"
"AMIGO2","grey","M17_grey"
"AMY2A","blue","M2_blue"
"AMY2B","blue","M2_blue"
"ANGPTL1","tan","M3_tan"
"ANGPTL2","tan","M3_tan"
"ANGPTL4","pink","M5_pink"
"ANGPTL7","blue","M2_blue"
"ANPEP","blue","M2_blue"
"ANTXR1","tan","M3_tan"
"ANTXR2","blue","M2_blue"
"ANXA1","blue","M2_blue"
"ANXA2","lightcyan","M16_lightcyan"
"ANXA5","salmon","M10_salmon"
"ANXA6","salmon","M10_salmon"
"ANXA7","purple","M15_purple"
"AOC3","blue","M2_blue"
"AP1B1","yellow","M6_yellow"
"AP2A1","pink","M5_pink"
"AP2A2","grey","M17_grey"
"AP2B1","yellow","M6_yellow"
"APMAP","blue","M2_blue"
"APOC2","blue","M2_blue"
"APOC4","blue","M2_blue"
"APOF","blue","M2_blue"
"APOL1","blue","M2_blue"
"AQP4","pink","M5_pink"
"ARG1","lightcyan","M16_lightcyan"
"ARHGDIA","salmon","M10_salmon"
"ARHGDIB","tan","M3_tan"
"ARPC2","salmon","M10_salmon"
"ARPC4","salmon","M10_salmon"
"ARSA","black","M7_black"
"ARSB","black","M7_black"
"ARSG","grey","M17_grey"
"ASAH1","black","M7_black"
"ASPH","grey","M17_grey"
"ASPRV1","turquoise","M1_turquoise"
"ASRGL1","yellow","M6_yellow"
"ASTN1","greenyellow","M13_greenyellow"
"ATF6","blue","M2_blue"
"ATF6B","grey","M17_grey"
"ATOX1","pink","M5_pink"
"ATP1A1","magenta","M8_magenta"
"ATP1A2","grey","M17_grey"
"ATP1A3","grey","M17_grey"
"ATP1B1","grey","M17_grey"
"ATP1B2","red","M9_red"
"ATP1B3","tan","M3_tan"
"ATP2B2","grey","M17_grey"
"ATRNL1","greenyellow","M13_greenyellow"
"AVP","brown","M4_brown"
"B3GALNT1","turquoise","M1_turquoise"
"B3GAT1","turquoise","M1_turquoise"
"B3GAT3","cyan","M14_cyan"
"B3GNT7","brown","M4_brown"
"B3GNT8","blue","M2_blue"
"B3GNT9","black","M7_black"
"B4GALNT1","green","M11_green"
"B4GALNT4","greenyellow","M13_greenyellow"
"B4GALT1","grey","M17_grey"
"B4GALT2","grey","M17_grey"
"B4GALT3","green","M11_green"
"BACE1","turquoise","M1_turquoise"
"BAMBI","turquoise","M1_turquoise"
"BCAM","grey","M17_grey"
"BDNF","turquoise","M1_turquoise"
"BGN","magenta","M8_magenta"
"BID","grey","M17_grey"
"BIN1","pink","M5_pink"
"BLMH","yellow","M6_yellow"
"BLVRB","purple","M15_purple"
"BMP1","grey","M17_grey"
"BMP5","grey","M17_grey"
"BMP6","tan","M3_tan"
"BMP7","grey","M17_grey"
"BMPR2","turquoise","M1_turquoise"
"BOD1L1","blue","M2_blue"
"BPNT1","pink","M5_pink"
"BRINP1","midnightblue","M12_midnightblue"
"BSG","turquoise","M1_turquoise"
"BST1","blue","M2_blue"
"C11orf87","turquoise","M1_turquoise"
"SPRING1","grey","M17_grey"
"C1GALT1","grey","M17_grey"
"C1GALT1C1","green","M11_green"
"C1QL1","grey","M17_grey"
"C1QL2","turquoise","M1_turquoise"
"C1QL3","turquoise","M1_turquoise"
"C1QTNF1","grey","M17_grey"
"C1QTNF4","turquoise","M1_turquoise"
"C1QTNF5","magenta","M8_magenta"
"C4BPB","blue","M2_blue"
"QNG1","pink","M5_pink"
"CA10","cyan","M14_cyan"
"CA11","red","M9_red"
"CA14","turquoise","M1_turquoise"
"CA2","purple","M15_purple"
"CA3","purple","M15_purple"
"CA4","green","M11_green"
"CAB39","pink","M5_pink"
"CACHD1","red","M9_red"
"CACNA2D2","midnightblue","M12_midnightblue"
"CACNA2D3","turquoise","M1_turquoise"
"CACYBP","pink","M5_pink"
"CADPS","grey","M17_grey"
"CALB2","pink","M5_pink"
"CALCA","tan","M3_tan"
"CALU","magenta","M8_magenta"
"CALY","turquoise","M1_turquoise"
"CAMK2D","yellow","M6_yellow"
"CAMK2G","yellow","M6_yellow"
"CAND1","pink","M5_pink"
"CAP1","salmon","M10_salmon"
"CAP2","yellow","M6_yellow"
"CAPG","salmon","M10_salmon"
"CAPN1","purple","M15_purple"
"CAPS","tan","M3_tan"
"GOLM2","turquoise","M1_turquoise"
"CASP14","lightcyan","M16_lightcyan"
"CAST","purple","M15_purple"
"CAT","purple","M15_purple"
"CBLN2","turquoise","M1_turquoise"
"CBR1","blue","M2_blue"
"CCDC126","turquoise","M1_turquoise"
"CCDC80","tan","M3_tan"
"CCER2","turquoise","M1_turquoise"
"CCK","turquoise","M1_turquoise"
"CCL14","tan","M3_tan"
"CCL19","grey","M17_grey"
"UQCC4","turquoise","M1_turquoise"
"CD109","black","M7_black"
"CD177","blue","M2_blue"
"CD200","red","M9_red"
"CD248","turquoise","M1_turquoise"
"CD302","grey","M17_grey"
"CD320","turquoise","M1_turquoise"
"CD33","grey","M17_grey"
"CD46","turquoise","M1_turquoise"
"CD58","grey","M17_grey"
"CD5L","blue","M2_blue"
"CD74","grey","M17_grey"
"CD81","magenta","M8_magenta"
"CD83","grey","M17_grey"
"CD84","grey","M17_grey"
"CD9","magenta","M8_magenta"
"CD93","tan","M3_tan"
"ADGRE5","grey","M17_grey"
"CDH1","blue","M2_blue"
"CDH10","green","M11_green"
"CDH11","turquoise","M1_turquoise"
"CDH12","turquoise","M1_turquoise"
"CDH15","cyan","M14_cyan"
"CDH18","turquoise","M1_turquoise"
"CDH19","blue","M2_blue"
"CDH20","grey","M17_grey"
"CDH22","midnightblue","M12_midnightblue"
"CDH23","cyan","M14_cyan"
"CDH3","magenta","M8_magenta"
"CDH4","turquoise","M1_turquoise"
"CDH5","blue","M2_blue"
"CDH7","cyan","M14_cyan"
"CDH8","turquoise","M1_turquoise"
"CDH9","turquoise","M1_turquoise"
"CEL","magenta","M8_magenta"
"CEMIP","tan","M3_tan"
"CEND1","yellow","M6_yellow"
"CETP","blue","M2_blue"
"CFB","blue","M2_blue"
"CFHR3","blue","M2_blue"
"CFHR5","blue","M2_blue"
"CFL1","salmon","M10_salmon"
"CFL2","salmon","M10_salmon"
"CFP","blue","M2_blue"
"CHAD","cyan","M14_cyan"
"CHI3L2","tan","M3_tan"
"CHID1","black","M7_black"
"CHIT1","pink","M5_pink"
"CHPF","turquoise","M1_turquoise"
"CHRD","turquoise","M1_turquoise"
"CHRDL1","tan","M3_tan"
"CHST1","greenyellow","M13_greenyellow"
"CHST10","turquoise","M1_turquoise"
"CHST11","magenta","M8_magenta"
"CHST12","turquoise","M1_turquoise"
"CHST14","tan","M3_tan"
"CHST15","grey","M17_grey"
"CHST3","tan","M3_tan"
"CHST6","black","M7_black"
"CHST7","turquoise","M1_turquoise"
"CHST8","midnightblue","M12_midnightblue"
"CHSY3","turquoise","M1_turquoise"
"CKB","pink","M5_pink"
"CKMT1A","yellow","M6_yellow"
"CLEC11A","tan","M3_tan"
"CLIC1","salmon","M10_salmon"
"CLIC6","magenta","M8_magenta"
"CLMP","midnightblue","M12_midnightblue"
"CLN5","black","M7_black"
"CLUL1","grey","M17_grey"
"CNDP2","magenta","M8_magenta"
"CNP","magenta","M8_magenta"
"CNPY2","turquoise","M1_turquoise"
"CNPY3","cyan","M14_cyan"
"CNR1","turquoise","M1_turquoise"
"CNTFR","midnightblue","M12_midnightblue"
"CNTN3","turquoise","M1_turquoise"
"CNTN5","turquoise","M1_turquoise"
"CNTN6","midnightblue","M12_midnightblue"
"CNTNAP2","greenyellow","M13_greenyellow"
"CNTNAP3","red","M9_red"
"CNTNAP5","turquoise","M1_turquoise"
"COA3","tan","M3_tan"
"COL11A1","grey","M17_grey"
"COL12A1","tan","M3_tan"
"COL14A1","tan","M3_tan"
"COL15A1","tan","M3_tan"
