"Protein","Module","Module_Name"
"PCDHB16","grey","M17_grey"
"PCDHGA4","turquoise","M1_turquoise"
"PCDHGB6","grey","M17_grey"
"PCDHGC3","midnightblue","M12_midnightblue"
"PCDHGC5","turquoise","M1_turquoise"
"PCMT1","turquoise","M1_turquoise"
"PCP4","yellow","M6_yellow"
"PCP4L1","yellow","M6_yellow"
"PCSK5","grey","M17_grey"
"PCSK6","grey","M17_grey"
"PCSK9","grey","M17_grey"
"PCYOX1","grey","M17_grey"
"PDCD6IP","magenta","M8_magenta"
"PDGFA","turquoise","M1_turquoise"
"PDGFD","tan","M3_tan"
"PDGFRA","grey","M17_grey"
"PDGFRB","grey","M17_grey"
"PDGFRL","tan","M3_tan"
"PDIA4","midnightblue","M12_midnightblue"
"PDIA6","turquoise","M1_turquoise"
"PDXP","pink","M5_pink"
"PDYN","turquoise","M1_turquoise"
"PEA15","pink","M5_pink"
"PEPD","blue","M2_blue"
"PFN2","yellow","M6_yellow"
"PGAM1","pink","M5_pink"
"PGD","purple","M15_purple"
"PGLS","pink","M5_pink"
"PGM1","yellow","M6_yellow"
"PGRMC1","grey","M17_grey"
"PHPT1","salmon","M10_salmon"
"PIANP","turquoise","M1_turquoise"
"PIGR","brown","M4_brown"
"PILRA","grey","M17_grey"
"PITHD1","yellow","M6_yellow"
"PITPNA","salmon","M10_salmon"
"PKDCC","blue","M2_blue"
"PLA2G15","black","M7_black"
"PLA2G7","grey","M17_grey"
"PLAUR","grey","M17_grey"
"PLBD2","black","M7_black"
"PLD4","grey","M17_grey"
"PLD5","midnightblue","M12_midnightblue"
"PLEC","pink","M5_pink"
"PLEKHB1","grey","M17_grey"
"PLEKHB2","turquoise","M1_turquoise"
"PLOD1","black","M7_black"
"PLOD3","black","M7_black"
"PLS3","salmon","M10_salmon"
"PLXDC1","turquoise","M1_turquoise"
"PLXNA1","greenyellow","M13_greenyellow"
"PLXNA2","greenyellow","M13_greenyellow"
"PLXNA4","greenyellow","M13_greenyellow"
"PLXNB1","red","M9_red"
"PLXNB2","cyan","M14_cyan"
"PLXNB3","red","M9_red"
"PLXNC1","red","M9_red"
