"Protein","Weighted_Effect","CI_Lower","CI_Upper","Z_score","P_value","I_squared","LOO_Mean","LOO_CI_Lower","LOO_CI_Upper","N_Studies","Total_N","Studies","N_Unique_Studies","Unique_Study_Names","FDR_BH_Stratified"
"IGFBP7",0.00327702665368307,-0.046935099534685,0.0534891528420512,-0.107693070933746,0.914239166140342,0,0.00409023904482035,-0.0107194126380657,0.0304475193853983,11,1301,"study_1_EOAD_vs_LOAD; study_10_EOAD_vs_LOAD; study_11_EOAD_vs_LOAD; study_2_EOAD_vs_LOAD; study_3_Olink_EOAD_vs_LOAD; study_3_Soma_EOAD_vs_LOAD; study_4_EOAD_vs_LOAD; study_5_EOAD_vs_LOAD; study_7_EOAD_vs_LOAD; study_8_EOAD_vs_LOAD; study_9_EOAD_vs_LOAD",5,"study_1; study_11; study_4; study_7; study_8",0.965614119569075
"TGFB1",-0.0335004550200416,-0.102434033775832,0.0354331237357494,-0.107430786132884,0.914447232028567,0.855016423997416,-0.0326194270929695,-0.0866957308907895,0.022581506681173,8,952,"study_1_EOAD_vs_LOAD; study_11_EOAD_vs_LOAD; study_2_EOAD_vs_LOAD; study_3_Olink_EOAD_vs_LOAD; study_3_Soma_EOAD_vs_LOAD; study_5_EOAD_vs_LOAD; study_8_EOAD_vs_LOAD; study_9_EOAD_vs_LOAD",3,"study_1; study_11; study_8",0.988451742152796
"MMP28",-3.48269243989011e-06,-0.0939705593219124,0.0939635939370326,0.107157139394219,0.91466431738996,0,NA,NA,NA,2,180,"study_11_EOAD_vs_LOAD; study_2_EOAD_vs_LOAD",2,"study_11; study_2",0.974969450450312
"PCSK9",-0.019323955825067,-0.0690165032957504,0.0303685916456165,0.107079980579,0.914725529025045,0.67680235729331,-0.0190963827866369,-0.0435279347098138,0.0145579617114907,10,1141,"study_1_EOAD_vs_LOAD; study_11_EOAD_vs_LOAD; study_2_EOAD_vs_LOAD; study_3_Olink_EOAD_vs_LOAD; study_3_Soma_EOAD_vs_LOAD; study_4_EOAD_vs_LOAD; study_5_EOAD_vs_LOAD; study_7_EOAD_vs_LOAD; study_8_EOAD_vs_LOAD; study_9_EOAD_vs_LOAD",5,"study_1; study_11; study_4; study_7; study_8",0.965614119569075
"LY6E",0.00403101767749042,-0.0596239986566796,0.0676860340116604,0.107011974799251,0.914779479792902,0,NA,NA,NA,2,393,"study_1_EOAD_vs_LOAD; study_11_EOAD_vs_LOAD",2,"study_1; study_11",0.974969450450312
"HBB",0.0940495600270514,-0.275401162889281,0.463500282943384,0.106940503873456,0.914836179975096,0.576683831553463,0.118076981229084,-0.158581111894635,0.348153775328765,8,800,"study_1_EOAD_vs_LOAD; study_10_EOAD_vs_LOAD; study_11_EOAD_vs_LOAD; study_2_EOAD_vs_LOAD; study_3_Soma_EOAD_vs_LOAD; study_4_EOAD_vs_LOAD; study_5_EOAD_vs_LOAD; study_7_EOAD_vs_LOAD",4,"study_1; study_11; study_4; study_7",0.957358445976595
"GCHFR",-0.00289485897432409,-0.207251538300863,0.201461820352215,0.106275419709426,0.915363833357532,0,0.001438029224456,-0.00461594122542892,0.0131393589746406,4,192,"study_11_EOAD_vs_LOAD; study_2_EOAD_vs_LOAD; study_3_Soma_EOAD_vs_LOAD; study_7_EOAD_vs_LOAD",3,"study_11; study_2; study_7",0.988451742152796
"CAP1",-0.0349942394033816,-0.14528916034741,0.075300681540647,0.106192865635353,0.915429331338842,0.871034292556773,NA,NA,NA,3,346,"study_1_EOAD_vs_LOAD; study_11_EOAD_vs_LOAD; study_2_EOAD_vs_LOAD",2,"study_1; study_11",0.974969450450312
"EXT1",-0.00638201931985418,-0.0350081631220743,0.0222441244823659,0.104492331726311,0.916778653363772,0.620824536106262,-0.00775343798209477,-0.0295687822032058,0.0166291279430016,5,588,"study_1_EOAD_vs_LOAD; study_11_EOAD_vs_LOAD; study_2_EOAD_vs_LOAD; study_5_EOAD_vs_LOAD; study_7_EOAD_vs_LOAD",3,"study_1; study_11; study_7",0.988451742152796
"DDAH1",-0.026149608215089,-0.0689842950497949,0.016685078619617,0.104343586606777,0.916896689560031,0.830484322099511,-0.0249158480192987,-0.0573504439936192,0.0332790815440279,10,1136,"study_1_EOAD_vs_LOAD; study_11_EOAD_vs_LOAD; study_2_EOAD_vs_LOAD; study_3_Olink_EOAD_vs_LOAD; study_3_Soma_EOAD_vs_LOAD; study_4_EOAD_vs_LOAD; study_5_EOAD_vs_LOAD; study_7_EOAD_vs_LOAD; study_8_EOAD_vs_LOAD; study_9_EOAD_vs_LOAD",5,"study_1; study_11; study_4; study_7; study_8",0.965614119569075
