"Protein","Weighted_Effect","CI_Lower","CI_Upper","Z_score","P_value","I_squared","LOO_Mean","LOO_CI_Lower","LOO_CI_Upper","N_Studies","Total_N","Studies","N_Unique_Studies","Unique_Study_Names","FDR_BH_Stratified"
"MENT",0.00793882552706566,-0.0170812531045746,0.0329589041587059,0.700452030855845,0.483645052287972,0.29038172783948,0.00743544097442476,-0.00282229070168387,0.0139028301415197,6,1203,"study_1_LOAD_vs_CN; study_11_LOAD_vs_CN; study_2_LOAD_vs_CN; study_3_Soma_LOAD_vs_CN; study_5_LOAD_vs_CN; study_7_LOAD_vs_CN",3,"study_1; study_11; study_7",0.599594514067594
"BMP4",0.0446488329447673,-0.0727370819571921,0.162034747846727,0.698862394607755,0.484638030756146,0,NA,NA,NA,4,694,"study_3_Olink_LOAD_vs_CN; study_3_Soma_LOAD_vs_CN; study_8_LOAD_vs_CN; study_9_LOAD_vs_CN",2,"study_3_Soma; study_8",0.688247763272172
"RNF130",-0.0158792960762148,-0.0600847171252448,0.0283261249728152,-0.698464456936796,0.484886778359221,0,NA,NA,NA,4,886,"study_1_LOAD_vs_CN; study_11_LOAD_vs_CN; study_2_LOAD_vs_CN; study_5_LOAD_vs_CN",2,"study_1; study_11",0.688247763272172
"CPVL",-0.00863751609426482,-0.0408123268926648,0.0235372947041352,-0.698319469842,0.484977425801068,0.454836688492146,-0.0109076076606257,-0.0385381059965065,0.00235544632438454,9,1654,"study_1_LOAD_vs_CN; study_10_LOAD_vs_CN; study_11_LOAD_vs_CN; study_2_LOAD_vs_CN; study_3_Olink_LOAD_vs_CN; study_3_Soma_LOAD_vs_CN; study_4_LOAD_vs_CN; study_5_LOAD_vs_CN; study_7_LOAD_vs_CN",4,"study_1; study_11; study_4; study_7",0.596837544135989
"SYT3",-0.0264930593098544,-0.0716030396477602,0.0186169210280514,-0.697111492613881,0.485733022447402,0.867620499514984,NA,NA,NA,3,797,"study_1_LOAD_vs_CN; study_11_LOAD_vs_CN; study_2_LOAD_vs_CN",2,"study_1; study_11",0.688508336047545
"PSME1",-0.0197430843824005,-0.0976489092932066,0.0581627405284056,-0.695793073096307,0.48655842786586,0.789288802890289,NA,NA,NA,6,1033,"study_1_LOAD_vs_CN; study_11_LOAD_vs_CN; study_2_LOAD_vs_CN; study_3_Olink_LOAD_vs_CN; study_3_Soma_LOAD_vs_CN; study_5_LOAD_vs_CN",2,"study_1; study_11",0.688540832937534
"KLRD1",0.0362704013695848,-0.0546889224802037,0.127229725219373,0.694958451498618,0.487081339950999,0.84196368782509,NA,NA,NA,3,667,"study_3_Olink_LOAD_vs_CN; study_8_LOAD_vs_CN; study_9_LOAD_vs_CN",2,"study_3_Olink; study_8",0.688540832937534
"ANXA2",0.0136638743085167,-0.0387414039572262,0.0660691525742596,0.69074158447289,0.489727951417156,0.835843820225926,0.0140188142415923,-0.0246697595417351,0.0695488274938574,6,1091,"study_1_LOAD_vs_CN; study_11_LOAD_vs_CN; study_2_LOAD_vs_CN; study_3_Soma_LOAD_vs_CN; study_5_LOAD_vs_CN; study_7_LOAD_vs_CN",3,"study_1; study_11; study_7",0.605827250244499
"NEU1",-0.00878732261369214,-0.0343466778186378,0.0167720325912536,-0.690538785118362,0.48985542814267,0.751476450727494,NA,NA,NA,5,1075,"study_1_LOAD_vs_CN; study_11_LOAD_vs_CN; study_2_LOAD_vs_CN; study_3_Soma_LOAD_vs_CN; study_5_LOAD_vs_CN",2,"study_1; study_11",0.691521453587274
"ENPP2",-0.00210549204267042,-0.0312435891338764,0.0270326050485356,-0.687662802938735,0.491665149265842,0.612550084250173,-0.00282192466379044,-0.0263344215393042,0.0202089309798723,9,1659,"study_1_LOAD_vs_CN; study_10_LOAD_vs_CN; study_11_LOAD_vs_CN; study_2_LOAD_vs_CN; study_3_Olink_LOAD_vs_CN; study_3_Soma_LOAD_vs_CN; study_4_LOAD_vs_CN; study_5_LOAD_vs_CN; study_7_LOAD_vs_CN",4,"study_1; study_11; study_4; study_7",0.604132602266375
"NCMAP",0.00392380246586175,-0.0543753860804863,0.0622229910122098,-0.685489948625921,0.493034801190872,0.907707668479724,-0.00606567398490669,-0.121112581300298,0.0838126322477126,5,1102,"study_1_LOAD_vs_CN; study_11_LOAD_vs_CN; study_2_LOAD_vs_CN; study_3_Soma_LOAD_vs_CN; study_4_LOAD_vs_CN",3,"study_1; study_11; study_4",0.608606399749592
"OLFML2B",0.00896401859784584,-0.0251471174341535,0.0430751546298452,0.685083827074068,0.493291025197556,0,NA,NA,NA,4,1031,"study_1_LOAD_vs_CN; study_11_LOAD_vs_CN; study_2_LOAD_vs_CN; study_5_LOAD_vs_CN",2,"study_1; study_11",0.695426560624505
"ENTPD2",0.0275981199511736,-0.0743822030464016,0.129578442948749,0.682460719565152,0.494947672596361,0.551804610762211,NA,NA,NA,4,694,"study_3_Olink_LOAD_vs_CN; study_3_Soma_LOAD_vs_CN; study_8_LOAD_vs_CN; study_9_LOAD_vs_CN",2,"study_3_Soma; study_8",0.696738516416233
"NT5E",-0.0118085208291952,-0.0545297740521778,0.0309127323937874,-0.68148791048626,0.495562813889891,0,NA,NA,NA,6,1010,"study_1_LOAD_vs_CN; study_11_LOAD_vs_CN; study_2_LOAD_vs_CN; study_3_Olink_LOAD_vs_CN; study_3_Soma_LOAD_vs_CN; study_5_LOAD_vs_CN",2,"study_1; study_11",0.696738516416233
"S100A4",0.0321191255630906,-0.0375852055740819,0.101823456700263,0.680233328336891,0.496356732435077,0.734969013118213,0.0288491099554837,-0.0405135655334863,0.0980274542534544,9,1805,"study_1_LOAD_vs_CN; study_11_LOAD_vs_CN; study_2_LOAD_vs_CN; study_3_Olink_LOAD_vs_CN; study_3_Soma_LOAD_vs_CN; study_5_LOAD_vs_CN; study_7_LOAD_vs_CN; study_8_LOAD_vs_CN; study_9_LOAD_vs_CN",4,"study_1; study_11; study_7; study_8",0.608956176367109
