"Protein","Weighted_Effect","CI_Lower","CI_Upper","Z_score","P_value","I_squared","LOO_Mean","LOO_CI_Lower","LOO_CI_Upper","N_Studies","Total_N","Studies","N_Unique_Studies","Unique_Study_Names","FDR_BH_Stratified"
"FAT2",-0.0597889843414254,-0.116089294040416,-0.00348867464243485,-1.80077442944211,0.0717384407737372,0.95131484973822,-0.0609502256153064,-0.110440947783672,0.0451574356715047,8,1022,"study_1_EOD_vs_LOD; study_10_EOD_vs_LOD; study_11_EOD_vs_LOD; study_2_EOD_vs_LOD; study_4_EOD_vs_LOD; study_5_EOD_vs_LOD; study_6_EOD_vs_LOD; study_7_EOD_vs_LOD",5,"study_1; study_11; study_4; study_6; study_7",0.219226479290542
"PROS1",0.0134451626625395,-0.0183578207949569,0.0452481461200359,1.79897042572779,0.0720233590339345,0.694899481401913,0.0128430710247066,-0.0128896549967697,0.037203402681684,9,1051,"study_1_EOD_vs_LOD; study_10_EOD_vs_LOD; study_11_EOD_vs_LOD; study_2_EOD_vs_LOD; study_3_Soma_EOD_vs_LOD; study_4_EOD_vs_LOD; study_5_EOD_vs_LOD; study_6_EOD_vs_LOD; study_7_EOD_vs_LOD",5,"study_1; study_11; study_4; study_6; study_7",0.219226479290542
"NUDC",0.0238458376856694,-0.0328548865991907,0.0805465619705295,1.79709629973721,0.0723203330594377,0.660763832934972,0.0216642408702485,-0.0150966825157979,0.0487388193875948,6,641,"study_1_EOD_vs_LOD; study_11_EOD_vs_LOD; study_2_EOD_vs_LOD; study_3_Soma_EOD_vs_LOD; study_5_EOD_vs_LOD; study_6_EOD_vs_LOD",3,"study_1; study_11; study_6",0.423377468135731
"ASRGL1",0.115038590691426,-0.0299192039202076,0.259996385303059,1.79697445454461,0.0723396753109612,0,0.11441957834959,0.0692516909604063,0.140043862146782,6,481,"study_1_EOD_vs_LOD; study_11_EOD_vs_LOD; study_2_EOD_vs_LOD; study_3_Soma_EOD_vs_LOD; study_5_EOD_vs_LOD; study_6_EOD_vs_LOD",3,"study_1; study_11; study_6",0.423377468135731
"FGF5",-0.0721419095609042,-0.150692642815397,0.00640882369358825,-1.79440556925706,0.0727484586544384,0,NA,NA,NA,3,914,"study_3_Olink_EOD_vs_LOD; study_8_EOD_vs_LOD; study_9_EOD_vs_LOD",2,"study_3_Olink; study_8",0.494561889975349
"TNFRSF14",-0.0480895961693691,-0.100980189494516,0.00480099715577745,-1.79437712810373,0.0727529950177054,0.277314860811043,-0.0477869143164569,-0.0592581880701393,-0.0424551821282723,9,1478,"study_1_EOD_vs_LOD; study_11_EOD_vs_LOD; study_2_EOD_vs_LOD; study_3_Olink_EOD_vs_LOD; study_3_Soma_EOD_vs_LOD; study_5_EOD_vs_LOD; study_6_EOD_vs_LOD; study_8_EOD_vs_LOD; study_9_EOD_vs_LOD",4,"study_1; study_11; study_6; study_8",0.323676590078771
"YWHAB",0.030105680164143,-0.00621022694182785,0.0664215872701138,1.78950607308406,0.0735333503049155,0.904323088863773,0.0298962906644822,-0.0042727643039719,0.09151900256395,8,862,"study_1_EOD_vs_LOD; study_11_EOD_vs_LOD; study_2_EOD_vs_LOD; study_3_Soma_EOD_vs_LOD; study_4_EOD_vs_LOD; study_5_EOD_vs_LOD; study_6_EOD_vs_LOD; study_7_EOD_vs_LOD",5,"study_1; study_11; study_4; study_6; study_7",0.222206077415997
"CPB2",0.0687071599737558,-0.00422281822327429,0.141637138170786,1.7895035452175,0.0735337570456163,0.690357494221719,0.0700988717436522,0.0169535324982668,0.112043718659451,8,916,"study_1_EOD_vs_LOD; study_10_EOD_vs_LOD; study_11_EOD_vs_LOD; study_2_EOD_vs_LOD; study_3_Soma_EOD_vs_LOD; study_4_EOD_vs_LOD; study_5_EOD_vs_LOD; study_6_EOD_vs_LOD",4,"study_1; study_11; study_4; study_6",0.323845637089785
"CAPNS1",-0.121331864771471,-0.242089657913809,-0.000574071629133491,-1.78918162300075,0.0735855702573072,0.196111683480821,NA,NA,NA,3,153,"study_11_EOD_vs_LOD; study_2_EOD_vs_LOD; study_3_Soma_EOD_vs_LOD",2,"study_11; study_2",0.495249140741533
"LMAN2",-0.0206559259318096,-0.0437880084601803,0.00247615659656105,-1.78726802402391,0.0738941795346156,0.465635829523754,-0.020557977204146,-0.0257920728894192,-0.00488093266342897,9,1048,"study_1_EOD_vs_LOD; study_10_EOD_vs_LOD; study_11_EOD_vs_LOD; study_2_EOD_vs_LOD; study_3_Soma_EOD_vs_LOD; study_4_EOD_vs_LOD; study_5_EOD_vs_LOD; study_6_EOD_vs_LOD; study_7_EOD_vs_LOD",5,"study_1; study_11; study_4; study_6; study_7",0.222206077415997
